acpi 1.7-3
alacritty 0.9.0-2
albert 0.17.2-1
alttab-git v1.6.0.12.g07666bc-1
amd-ucode 20211027.1d00989-1
arandr 0.1.10-6
autoconf 2.71-1
automake 1.16.5-1
awesome-git 4.3.1294.gbf74f249d-1
bandwhich 0.20.0-1
base 2-2
bat 0.18.3-1
binutils 2.36.1-3
bison 3.8.2-1
bitwarden 1.30.0-1
bitwarden-cli 1.20.0-1
bluedevil 1:5.23.4-1
bottom 0.6.4-2
breeze 5.23.4-1
breeze-gtk 5.23.4-1
brightnessctl 0.5.1-2
bsp-layout 0.0.7-1
bspwm 0.9.10-1
btrfs-progs 5.15.1-1
cava 0.7.4-1
clang 13.0.0-2
clash 1.8.0-1
cmake 3.22.1-1
code 1.62.0-1
conky 1.12.2-1
copyq 5.0.0-1
cpio 2.13-2
croc 9.5.0-1
dash 0.5.11.4-1
deepin-calendar 5.8.4-1
deepin-font-manager 5.8.0.24-1
deepin-system-monitor 5.8.8-2
dialog 1:1.3_20211107-1
discover 5.23.4-1
docker 1:20.10.11-1
dolphin 21.08.3-1
drkonqi 5.23.4-1
dunst 1.7.2-1
edk2-ovmf 202108-1
efibootmgr 17-2
exa 0.10.1-4
fakeroot 1.26-1
fcitx5-chinese-addons 5.0.8-1
fcitx5-configtool 5.0.8-1
fcitx5-gtk 5.0.9-1
fcitx5-pinyin-zhwiki 1:0.2.3.20211121-1
fcitx5-qt 5.0.7-1
fcitx5-rime 5.0.8-1
fd 8.3.0-1
fio 3.28-2
firefox 95.0-1
firefox-nightly 97.0a1.20211209093228+h3f29a100ee06-1
fish 3.3.1-1
flameshot 0.10.2-1
flex 2.6.4-3
fuse2 2.9.9-4
fzf 0.28.0-1
gcc 11.1.0-1
ghc 9.0.1-5
git 2.34.1-1
groff 1.22.4-6
grub 2:2.06-2
grub-btrfs 4.10.2-1
hexyl 0.9.0-1
highlight 4.1-1
hsetroot 1.0.5-1
htop 3.1.2-1
hyperfine 1.12.0-1
i3lock-color 2.13.c.4-1
inter-font 3.19-1
iotop 0.6-8
ipython 7.30.1-1
iwd 1.20-1
jq 1.6-4
kactivitymanagerd 5.23.4-1
kcron 21.08.3-1
kde-cli-tools 5.23.4-1
kde-gtk-config 5.23.4-1
kdeconnect 21.08.3-1
kdecoration 5.23.4-1
kdeplasma-addons 5.23.4-1
kgamma5 5.23.4-1
khelpcenter 21.08.3-1
khotkeys 5.23.4-1
kinfocenter 5.23.4-1
kmenuedit 5.23.4-1
kmonad-bin 0.4.1-2
konsole 21.08.3-1
kscreen 5.23.4-1
kscreenlocker 5.23.4-1
ksshaskpass 5.23.4-1
ksystemlog 21.08.3-1
ksystemstats 5.23.4-1
kubectl 1.22.4-1
kvantum-qt5 0.20.2-2
kwallet-pam 5.23.4-1
kwayland-integration 5.23.4-1
kwayland-server 5.23.4-1
kwin 5.23.4-1
kwrited 5.23.4-1
latte-dock 0.10.4-1
layer-shell-qt 5.23.4-1
lazygit 0.31.4-1
lcov 1.15-3
libcaca 0.99.beta20-1
libisoburn 1.5.4-2
libkscreen 5.23.4-1
libksysguard 5.23.4-1
libtool 2.4.6+42+gb88cebd5-16
linux 5.15.7.arch1-1
linux-firmware 20211027.1d00989-1
linux-headers 5.15.7.arch1-1
llvm 13.0.0-3
lolcat 100.0.1-1
lsof 4.94.0-1
lucky-commit 2.1.0-1
m4 1.4.19-1
maim 5.7.4-2
make 4.3-3
man-pages 5.13-1
milou 5.23.4-1
mpd 0.23.5-1
mtools 1:4.0.36-1
neofetch 7.1.0-2
neovim 0.6.0-1
netease-cloud-music 1.2.1-7
networkmanager 1.32.12-1
networkmanager-dmenu-git r143.c98810b-1
nix 2.4-1
